Image Name,PID,Session Name,Session#,Mem Usage
SASrv.exe,3540,Services,0,"1,932 K"
nvcontainer.exe,3672,Services,0,"19,876 K"
TeamViewer_Service.exe,3684,Services,0,"6,836 K"
svchost.exe,3732,Services,0,"2,212 K"
WindscribeService.exe,3760,Services,0,"2,012 K"
dasHost.exe,3912,Services,0,"5,304 K"
svchost.exe,3936,Services,0,"2,220 K"
mysqld.exe,4048,Services,0,"47,004 K"
conhost.exe,4068,Services,0,"6,492 K"
svchost.exe,4224,Services,0,"6,084 K"
MsMpEng.exe,4232,Services,0,"5,94,648 K"
svchost.exe,4296,Services,0,"4,472 K"
svchost.exe,4436,Services,0,"4,140 K"
unsecapp.exe,4956,Services,0,"2,392 K"
NisSrv.exe,5920,Services,0,"8,324 K"
PresentationFontCache.exe,2448,Services,0,"4,760 K"
SearchIndexer.exe,6936,Services,0,"55,664 K"
SecurityHealthService.exe,8556,Services,0,"13,408 K"
SgrmBroker.exe,7988,Services,0,"5,044 K"
GoogleCrashHandler.exe,256,Services,0,148 K
WmiPrvSE.exe,1624,Services,0,"17,388 K"
svchost.exe,12824,Services,0,"2,060 K"
dllhost.exe,3444,Services,0,"3,488 K"
svchost.exe,14912,Services,0,"12,480 K"
csrss.exe,6092,Console,23,"3,064 K"
winlogon.exe,1560,Console,23,"5,016 K"
dwm.exe,8268,Console,23,"86,064 K"
fontdrvhost.exe,13492,Console,23,"4,660 K"
NVDisplay.Container.exe,8112,Console,23,"23,532 K"
svchost.exe,15620,Services,0,"3,896 K"
ctfmon.exe,14836,Console,23,"14,528 K"
sihost.exe,8200,Console,23,"18,168 K"
svchost.exe,5732,Console,23,"21,372 K"
nvcontainer.exe,12988,Console,23,"42,700 K"
esif_assist_64.exe,4992,Console,23,"1,628 K"
svchost.exe,5296,Console,23,"28,048 K"
taskhostw.exe,12560,Console,23,"10,384 K"
igfxEM.exe,6756,Console,23,"5,748 K"
explorer.exe,7568,Console,23,"1,54,516 K"
svchost.exe,1324,Console,23,"14,488 K"
StartMenuExperienceHost.exe,1872,Console,23,"48,676 K"
RuntimeBroker.exe,11544,Console,23,"7,132 K"
SettingSyncHost.exe,10364,Console,23,"2,716 K"
SearchUI.exe,14512,Console,23,"1,56,832 K"
SecurityHealthSystray.exe,11160,Console,23,"3,112 K"
WzPreloader.exe,8360,Console,23,"4,520 K"
FAHWindow64.exe,15544,Console,23,"2,012 K"
CAudioFilterAgent64.exe,11464,Console,23,"24,588 K"
OneDrive.exe,2000,Console,23,"31,548 K"
CCXProcess.exe,5952,Console,23,392 K
node.exe,7664,Console,23,"31,368 K"
conhost.exe,10780,Console,23,"6,680 K"
MySQLNotifier.exe,7056,Console,23,"13,696 K"
ApplicationFrameHost.exe,4024,Console,23,"10,220 K"
AdobeIPCBroker.exe,8456,Console,23,"3,812 K"
SmartAudio.exe,6696,Console,23,"42,180 K"
AsusTPLoader.exe,14792,Console,23,728 K
NVIDIA Web Helper.exe,10820,Console,23,"2,564 K"
conhost.exe,14016,Console,23,548 K
AsusTPHelper.exe,10988,Console,23,356 K
ShellExperienceHost.exe,11236,Console,23,"52,084 K"
RuntimeBroker.exe,7540,Console,23,"19,944 K"
svchost.exe,8376,Console,23,"25,456 K"
YourPhone.exe,6348,Console,23,"6,972 K"
RuntimeBroker.exe,15284,Console,23,"4,952 K"
SkypeApp.exe,9112,Console,23,"1,61,164 K"
RuntimeBroker.exe,9268,Console,23,"15,392 K"
chrome.exe,10876,Console,23,"3,14,432 K"
SkypeBridge.exe,15848,Console,23,"31,624 K"
FileCoAuth.exe,6860,Console,23,"3,336 K"
RuntimeBroker.exe,14396,Console,23,"14,880 K"
WinSCP.exe,9376,Console,23,"24,448 K"
dllhost.exe,14924,Console,23,"7,116 K"
LockApp.exe,9192,Console,23,"29,592 K"
RuntimeBroker.exe,12800,Console,23,"24,852 K"
SystemSettings.exe,12728,Console,23,752 K
chrome.exe,15852,Console,23,"8,468 K"
rundll32.exe,1300,Console,23,"2,220 K"
WhatsApp.exe,11280,Console,23,"2,01,872 K"
WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe,6024,Console,23,"15,476 K"
wpscenter.exe,11680,Console,23,"28,720 K"
Microsoft.Photos.exe,8172,Console,23,"47,432 K"
RuntimeBroker.exe,512,Console,23,"24,076 K"
sppsvc.exe,12348,Services,0,"11,784 K"
SppExtComObj.Exe,15216,Services,0,"9,336 K"
svchost.exe,5440,Services,0,"5,544 K"
AsusTPCenter.exe,7852,Console,23,"1,684 K"
AdobeNotificationClient.exe,16364,Console,23,"1,388 K"
RuntimeBroker.exe,12232,Console,23,"12,396 K"
chrome.exe,15692,Console,23,"81,284 K"
Video.UI.exe,11744,Console,23,832 K
RuntimeBroker.exe,8352,Console,23,"8,720 K"
audiodg.exe,2752,Services,0,"9,876 K"
svchost.exe,13424,Services,0,"6,880 K"
chrome.exe,1348,Console,23,"82,160 K"
chrome.exe,8008,Console,23,"20,540 K"
smartscreen.exe,14368,Console,23,"23,096 K"
cmd.exe,3416,Console,23,"4,116 K"
conhost.exe,5936,Console,23,"18,456 K"
backgroundTaskHost.exe,9360,Console,23,"23,116 K"
tasklist.exe,14536,Console,23,"8,372 K"
